Locus tag	Strand	Chr	Begin	End	Length (bp)	Length (aa)	Gene Name	Start codon	Operon	Product	Description	RAST info.	COG
lmo0084	-	NC_003210.1	86747	87730	984	327		ATG	Operon_015	hypothetical protein - RAST_Product: Aldo-keto reductase	similar to oxidoreductases	Aldo-keto reductase	Energy production and conversion
lmo0085	+	NC_003210.1	88121	88810	690	229		ATG		hypothetical protein - RAST_Product: FIG00774847: hypothetical protein	lmo0085	FIG00774847: hypothetical protein	Not in COGs
lmo0086	+	NC_003210.1	88888	94767	5880	1959		TTG		hypothetical protein - RAST_Product: FIG00774455: hypothetical protein	lmo0086	FIG00774455: hypothetical protein	Not in COGs
lmo0087	+	NC_003210.1	94764	97070	2307	768		ATG		hypothetical protein - RAST_Product: FIG00774343: hypothetical protein	lmo0087	FIG00774343: hypothetical protein	Not in COGs
lmo0088	+	NC_003210.1	97127	97369	243	80		ATG		hypothetical protein - RAST_Product: ATP synthase C chain (EC 3.6.3.14)	similar to ATP synthase C chain	ATP synthase C chain (EC 3.6.3.14)	Energy production and conversion
lmo0089	+	NC_003210.1	97381	98412	1032	343		ATG		hypothetical protein - RAST_Product: ATP synthase F1, delta subunit	weakly similar to ATP synthase delta chain	ATP synthase F1, delta subunit	Energy production and conversion
lmo0090	+	NC_003210.1	98409	99905	1497	498		TTG		F0F1 ATP synthase subunit alpha	similar to ATP synthase alpha chain  produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a catalytic subunit	ATP synthase alpha chain (EC 3.6.3.14)	Energy production and conversion
lmo0091	+	NC_003210.1	99902	100771	870	289		TTG		hypothetical protein - RAST_Product: ATP synthase gamma chain (EC 3.6.3.14)	similar to ATP synthase gamma chain	ATP synthase gamma chain (EC 3.6.3.14)	Energy production and conversion
lmo0092	+	NC_003210.1	100772	102142	1371	456		ATG		F0F1 ATP synthase subunit beta	similar to ATP synthase beta chain  produces ATP from ADP in the presence of a proton gradient across the membrane  the beta chain is a regulatory subunit	ATP synthase beta chain (EC 3.6.3.14)	Energy production and conversion
lmo0093	+	NC_003210.1	102155	102478	324	107		ATG		hypothetical protein - RAST_Product: ATP synthase F1, epsilon subunit	similar to ATP synthase epsilon chain	ATP synthase F1, epsilon subunit	Energy production and conversion
lmo0094	+	NC_003210.1	102468	103028	561	186		ATG		hypothetical protein - RAST_Product: FIG00774358: hypothetical protein	lmo0094	FIG00774358: hypothetical protein	Not in COGs
lmo0095	+	NC_003210.1	103204	103836	633	210		ATG		hypothetical protein - RAST_Product: FIG00774239: hypothetical protein	lmo0095	FIG00774239: hypothetical protein	Not in COGs
lmo0096	+	NC_003210.1	104134	105099	966	321		ATG	Operon_016	hypothetical protein - RAST_Product: PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)	similar to PTS system mannose-specific, factor IIAB	PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0097	+	NC_003210.1	105123	105929	807	268		ATG	Operon_016	hypothetical protein - RAST_Product: PTS system, mannose-specific IIC component (EC 2.7.1.69)	similar to PTS system mannose-specific, factor IIC	PTS system, mannose-specific IIC component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0098	+	NC_003210.1	105951	106862	912	303		ATG	Operon_016	hypothetical protein - RAST_Product: PTS system, mannose-specific IID component (EC 2.7.1.69)	similar to PTS system mannose-specific, factor IID	PTS system, mannose-specific IID component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0099	+	NC_003210.1	106988	107377	390	129		TTG		hypothetical protein - RAST_Product: Putative regulator of the mannose operon, ManO	lmo0099	Putative regulator of the mannose operon, ManO	Function unknown
lmo0100	+	NC_003210.1	107499	107849	351	116		ATG		hypothetical protein - RAST_Product: FIG00774211: hypothetical protein	lmo0100	FIG00774211: hypothetical protein	Function unknown
lmo0101	-	NC_003210.1	107915	108208	294	97		ATG		hypothetical protein - RAST_Product: transcriptional regulator, ArsR family	similar to transcription regulator	transcriptional regulator, ArsR family	Transcription
lmo0102	+	NC_003210.1	108320	108610	291	96		ATG		hypothetical protein - RAST_Product: FIG00774166: hypothetical protein	lmo0102	FIG00774166: hypothetical protein	Function unknown
lmo0103	+	NC_003210.1	108624	109256	633	210		ATG		hypothetical protein - RAST_Product: NADH dehydrogenase (EC 1.6.99.3)	similar to NADH oxidase	NADH dehydrogenase (EC 1.6.99.3)	Energy production and conversion
lmo0104	+	NC_003210.1	109349	109720	372	123		GTG		hypothetical protein - RAST_Product: FIG00774471: hypothetical protein	lmo0104	FIG00774471: hypothetical protein	Not in COGs
lmo0105	+	NC_003210.1	110013	112283	2271	756		ATG		hypothetical protein	highly similar to chitinase B	Chitinase (EC 3.2.1.14)	Carbohydrate transport and metabolism; General function prediction only;
lmo0106	+	NC_003210.1	112386	113288	903	300		ATG		hypothetical protein - RAST_Product: Sugar kinase and transcription regulator (EC 2.7.1.-)	similar to transcription regulator	Sugar kinase and transcription regulator (EC 2.7.1.-)	Transcription; Carbohydrate transport and metabolism;
lmo0107	-	NC_003210.1	113313	115094	1782	593		ATG	Operon_017	hypothetical protein - RAST_Product: Lipid A export ATP-binding/permease protein MsbA	similar to ABC transporter, ATP-binding protein	Lipid A export ATP-binding/permease protein MsbA	Defense/virulence mechanisms
lmo0108	-	NC_003210.1	115087	116829	1743	580		ATG	Operon_017	hypothetical protein - RAST_Product: Lipid A export ATP-binding/permease protein MsbA	similar to ABC transporter, ATP-binding protein	Lipid A export ATP-binding/permease protein MsbA	Defense/virulence mechanisms
lmo0109	+	NC_003210.1	116972	117805	834	277		ATG	Operon_018	hypothetical protein - RAST_Product: Transcriptional regulator, AraC family	similar to transcriptional regulatory proteins, AraC family	Transcriptional regulator, AraC family	Transcription
lmo0110	+	NC_003210.1	117841	118956	1116	371		ATG	Operon_018	hypothetical protein - RAST_Product: Esterase/lipase	similar to lipase	Esterase/lipase	Lipid transport and metabolism
lmo0111	+	NC_003210.1	119063	119770	708	235		ATG		hypothetical protein	lmo0111	FIG00774534: hypothetical protein	Signal transduction mechanisms
lmo0112	-	NC_003210.1	119740	120435	696	231		ATG		hypothetical protein - RAST_Product: FIG00774366: hypothetical protein	weakly similar to transcription regulators, Fnr/Crp family	FIG00774366: hypothetical protein	Not in COGs
lmo0113	-	NC_003210.1	120654	121106	453	150		TTG	Operon_019	hypothetical protein - RAST_Product: Protein gp35 [Bacteriophage A118]	similar to protein gp35 from Bacteriophage A118	Protein gp35 [Bacteriophage A118]	Not in COGs
lmo0114	-	NC_003210.1	121112	121447	336	111		ATG	Operon_019	hypothetical protein - RAST_Product: Phage repressor	similar to putative repressor C1 from lactococcal bacteriophage Tuc2009	Phage repressor	Transcription
lmo0115	+	NC_003210.1	121664	122092	429	142	lmaD	ATG	Operon_020	hypothetical protein - RAST_Product: Listeria protein LmaD, associated with virulence	similar to Antigen D	Listeria protein LmaD, associated with virulence	Not in COGs
lmo0116	+	NC_003210.1	122104	122520	417	138	lmaC	ATG	Operon_020	hypothetical protein - RAST_Product: LmaC, associated with virulence in Listeria	similar to Antigen C	LmaC, associated with virulence in Listeria	Not in COGs
lmo0117	+	NC_003210.1	122798	123187	390	129	lmaB	GTG	Operon_020	antigen B		Listeria protein LmaB, associated with virulence	Not in COGs
lmo0118	+	NC_003210.1	123200	123712	513	170	lmaA	ATG	Operon_020	antigen A		hypothetical protein	Function unknown
lmo0119	+	NC_003210.1	123760	124062	303	100		ATG	Operon_020	hypothetical protein - RAST_Product: FIG00774706: hypothetical protein	lmo0119	FIG00774706: hypothetical protein	Not in COGs
lmo0120	+	NC_003210.1	124104	124508	405	134		GTG	Operon_020	hypothetical protein - RAST_Product: FIG00774110: hypothetical protein	lmo0120	FIG00774110: hypothetical protein	Not in COGs
lmo0121	+	NC_003210.1	124495	126363	1869	622		ATG	Operon_020	hypothetical protein - RAST_Product: Phage tail length tape-measure protein	similar to bacteriophage minor tail proteins	Phage tail length tape-measure protein	Function unknown
lmo0122	+	NC_003210.1	126360	127178	819	272		ATG	Operon_020	hypothetical protein - RAST_Product: Phage tail fiber	similar to phage proteins	Phage tail fiber	Not in COGs
lmo0123	+	NC_003210.1	127188	128324	1137	378		ATG	Operon_020	hypothetical protein - RAST_Product: Putative tail or base plate protein gp18 [Bacteriophage A118]	similar to protein gp18 from Bacteriophage A118	Putative tail or base plate protein gp18 [Bacteriophage A118]	Not in COGs
lmo0124	+	NC_003210.1	128314	128613	300	99		ATG	Operon_020	hypothetical protein - RAST_Product: FIG00774673: hypothetical protein	lmo0124	FIG00774673: hypothetical protein	Not in COGs
